merchant_name,country,city,number_of_customers,daily_customers,yearly_revenue,valuation,years_in_business,founded_year,sector,num_employees
PayPal,United States,,345 million active accounts (as of 2021),67 million transactions per day (as of 2021),$29.1 billion (FY2021),$356 billion (as of early 2023),28 years,1998,Financial Services,
Etsy,United States,,,,$1.87 billion (2019),$3.64 billion (2020),15,2005,Online marketplace and consumer-to-consumer ecommerce platform,
Shopify,Canada,Montreal,,,$7.1 billion (as of 2021),$95 billion (as of November 2022),16 years (founded in 2004),2004,Online Retail & E-commerce Platforms,
Netflix,United States,"Los Gatos, California",Over 208 million subscribers globally as of the latest report,Estimates vary but can be in millions daily based on global reach and active usage patterns,"$25.9 billion for FY 2021, according to their annual report","Approximately $300 billion as of early 2022, according to various reports","As of 2023, Netflix has been in business for over 25 years since its launch on August 29, 1997",1997,Entertainment and Streaming Services,
Spotify,Sweden,Stockholm,Unavailable from provided search results,Approximately 345 million listen days per month (as of last reported data),"$6 billion USD (as of the latest available public report), though exact figures are not always disclosed in real-time",$120 billion USD as of December 2020 (based on reported valuation),15,2006,Music streaming service provider,
Uber,United States,"San Francisco, California (headquartered)",Estimated millions globally,Over 10 million rides per day worldwide as of my last update,$31.6 billion in 2020 (based on reports),$49 billion at the end of Q2 2020 (from Uber's filings),"Over 15 years as a private company, founded in 2009",2009,Transportation Network Companies (TNCs) or ride-hailing services,
American Airlines,United States,,,"1,034,982 (as of 2020)",$56.5 billion (estimated for FY 2021),$18.9 billion (based on a November 2020 report by The Wall Street Journal),Over 107 years,1930,Transportation/Airline,
Delta Air Lines,United States,"Atlanta, Georgia",,,$40 billion,$35.8 billion as of August 2021,96 years,1924,Airline transportation,
United Airlines,USA,"Chicago, Illinois (Headquarters)",,,$21.98 billion USD for Fiscal Year 2020,$35.4 billion (as of Q4 2020),107 years,1926,Airlines,
Southwest Airlines,United States,Dallas,,,$14.7 billion (2019),$15 billion (Q3 2020),61 years,1967,Transportation Services,
Emirates,United Arab Emirates,Dubai,,Over 4.5 million passengers annually (2019 data),"$38 billion (reported for the fiscal year ending March 2021, subject to change)",$76 billion as of April 2022,45 years (founded in 1985),1985,Airline & Aviation,
Lufthansa,Germany,Cologne,,,€19.2 billion (as of 2020),€45.8 billion (as of May 2021),96 years,1926,Aviation/Travel,
Air France-KLM,"France, Netherlands",,,,approximately 23 billion euros (as of 2021),about €5.4 billion (as of August 2021),since 1970,1933 and 1960 respectively for Air France and KLM Royal Dutch Airlines before merging in 2004,Aviation/Transportation,
British Airways,United Kingdom,London,,,Approx. £16 billion (as of 2021),£5 billion as of March 2023,97 years,1974,Airline and Travel Services,
Singapore Airlines,Singapore,Singapore,,,$10 billion (as of 2019) according to an SEA report,"$5.3 billion as of October 2019, but this is subject to change and may not be up-to-date",73 years (founded in 1947),1947,Airlines/Cargo transportation,"Approximately 25,000 (as of the latest reports)"
Cathay Pacific,"Hong Kong, China",Hong Kong,,,$15.2 billion (estimated),$46 billion (as of 2021),93 years,1946,Aviation/Airline,
Marriott International,United States,,,,$20.5 billion (as of 2019),$36 billion (as of July 2020),84 years,1927,Hospitality and Tourism,
Hilton,United States (headquarter),"Tysons Corner, Virginia",,,$21 billion (estimated 2022) - Please refer to the latest financial reports for accurate figures.,$63.4 billion (as of October 2021) - Valuation subject to change and may vary by source.,Over a century,"1919 - Hilton Hotels & Resorts was founded as the Hilton Hotels Company. The first hotel, Conrad Houston Hotel, opened in San Antonio, Texas in 1925.",Hospitality,
Hyatt,United States,,"Not directly available from public sources, but Hyatt caters to millions of guests annually.","Estimates vary; however, for simplicity, let's not specify an exact number due to lack of direct data.",$16.9 billion (estimate based on available financial reports),"$18 billion (as of the last reported valuation in 2020), subject to change over time.",Over 135 years,1957,Hospitality/Hotels and Resorts,"Approximately 73,000 (as of the last reported figures)"
InterContinental Hotels Group,United Kingdom,,,,$1.3 billion (as of 2020),$6 billion (as of December 2020),over 90 years,1946,Hospitality and Tourism,
Airbnb,United States,,20 million guests per year (as of 2018),"Not specified in the search results, but as of 2019 it is estimated to host approximately 3.5 million stays per day.",$4.8 billion USD (as of 2018),$31 billion (as of April 2021),12 years,2008,Online marketplace for lodging and tourism services,
Booking.com,The Netherlands,Amsterdam,,More than 70 million bookings per day as of the latest available data.,"$2.8 billion (as of fiscal year ending March 31, 2020)",$5.8 billion,27 years,1996,Travel and Tourism (Online travel agency),
Expedia,United States,,,Approximately 15 million (Based on an estimate considering its market reach),"$7.6 billion (As of FY2020, based on reported earnings)","$28.4 billion (Valuation as of August 2020), but subject to change with market conditions and financial performance)","37 years (Founded in 1996, as of my last update)",1996,Travel Services & E-commerce,
Nike,USA,,,,$30.9 billion (2018),$16 billion (2017),50,1964,Sportswear and sports equipment,
Adidas,,,,,,,,1949,Sportswear and equipment manufacturing,
H&M,Sweden,,,,71.5 billion euros (as of 2022),approximately 34 billion euros (as of late 2022),over 60 years,1947,Fashion retail,
Zara,"Spain, United Kingdom (UK)",,Unknown from the provided search results,Unknown from the provided search results,$30.7 billion USD (as of 2019),$46.6 billion (as of July 2020),"45 years (since 1975 for Inditex, the parent company of Zara)",1975,Fashion Retailer,
Uniqlo,Japan,,,,$24.7 billion (estimated),$15 billion (as of 2020),60 years,1949,"Retail, Apparel",
Gap Inc,,,,,,,80,1969,Retail,
Lululemon,United States,,,Over 10 million annually,$4.9 billion (2020),$56 billion (as of June 2021) according to Forbes,37 years,1998,"Retail, specifically athletic apparel and footwear",
TJX Companies,United States,,Over 50 million annual shoppers worldwide,,$37 billion USD (2019),$62.4 billion USD (December 2020),Since 1984,1976,Retail,
Ross Stores,United States,,,,$10.3 billion (as of 2020),$6.5 billion (as of January 2021),89 years,1950,Retail - Discount Store,
Tesla,United States,"Austin, Texas",,,$51.8 billion (2020),$649 billion (2021),20,2003,Automotive and Energy,
Toyota,"Japan, United States (operations)",,,,$269.5 billion,$283 billion (as of January 2022),79,1937,Automotive manufacturing and sales,
Ford,United States,"Dearborn, Michigan",,,$143.9 billion (2020),$125 billion (June 2021),117 years,"July 6, 1903",Automotive Manufacturing,
General Motors,United States,"Detroit, Michigan",,,$156 billion,$84 billion,Over 116 years,1908,Automotive manufacturing,"About 245,000 worldwide"
Shell,"United Kingdom and Nigeria are the two largest Shell entities, but it has operations in over 90 countries worldwide.",,,,$41.1 billion as of Q2 2020,$359.8 billion (as of June 2020),Founded in 1907,1907,Oil and Gas,
ExxonMobil,United States,"Irving, Texas",,,$279 billion (as of 2018),$346.5 billion (as of Q2 2018),Over 116 years,1908,Oil and Gas,
BP,United Kingdom,,,,USD 240 billion (as of 2021),$98.7 billion (as of October 2020),135 years,1909,Oil and Gas,
Chevron,United States,"San Ramon, California",,,$276 billion (as of 2021),$326.5 billion (as of August 2021),146 years,1879,Oil and gas,
Macy's,United States,"New York City, New York",,,,,138 years,1858,Retail,
Nordstrom,United States,,,,$9.2 billion (as of 2021),$5.43 billion (as of April 2023),118 years,1901,Retail,
Kohls,United States,,,,$4.2 billion (as of 2019),$7 billion (as of 2021),85 years,1926,Retail,
Saks Fifth Avenue,USA,"New York City, NY",,Estimates vary widely; no specific figure available from this search.,$1.2 billion (as of 2020),$3.4 billion (as of early 2021),Over 168 years,1924,Luxury Department Stores,
Neiman Marcus,United States,"Dallas, Texas",,,"$1.3 billion (as of 2019) according to Forbes, but exact figures are not publicly disclosed by the company.","$2 billion (as of 2019) according to Forbes, but this valuation can fluctuate.",135 years (founded in 1907),1907,"Retail, particularly Luxury Retail",
Bloomingdales,USA,New York City,,,$5.1 billion (2020),$14.8 billion (as of 2019),over a century,1906,Retail,
Disney,United States,"Burbank, California",,Approximately 25 million worldwide (based on Disney theme parks attendance),$60.4 billion (as of FY2019),"$238 billion (estimated as of February 2021 by Forbes, but subject to change)",Over 107 years,1923,Media and Entertainment,
Universal Parks,,,,,,,,,,
AMC Theatres,United States,N/A (Not specific from the search results),N/A (No data available in search results),N/A (No data available in search results),$2.0 billion,"$769 million as of April 2018, according to The Wall Street Journal.",Over 105 years,1920,Entertainment - Movie Theatres,
Regal Cinemas,United States,,,,$1.3 billion (2019),$1.57 billion (2018),Over 90 years,1924,Entertainment/Film Industry,
Ticketmaster,United States,New York,,,$6.7 billion (as of 2019),$3.4 billion (as of October 2020),53 years,1978,"Entertainment Industry, specifically in ticket sales and event management",
Verizon,United States,,,,$132.8 billion (as of 2020),"$245 billion (as of 2021, estimated based on various sources)",177 years as of 2021,1878,Telecommunications,
AT&T,United States,,,,$209.3 billion (as of 2021),$265 billion (as of March 2022),Over 137 years,1885,Telecommunications,
T-Mobile,United States,,86 million (as of 2021),,$47 billion (as of 2020),$43.5 billion (as of October 2021),68 years,1994,Telecommunications,
Comcast,United States,"Philadelphia, Pennsylvania",Unknown (Data not readily available),Unknown (Data not readily available),$92.4 billion (As of 2020) - Source: Statista,$213 billion (As of 2020) - Source: Forbes,46 years (Founded in 1970),1970,"Telecommunications, Media Conglomerate",
Charter Communications,United States,,Not specified in available data,Not specified in available data,$21.7 billion (as of 2021),$36.5 billion (as of 2021),"49 years (founded in 1993, as of my knowledge cutoff in 2023)",1993,Telecommunications,
Tesco,United Kingdom,Watford,27 million,6.5 million,£108 billion,$34 billion (2021),98 years,1919,Retail,
Carrefour,"France, United Arab Emirates, China, Saudi Arabia, Mexico, Ukraine",,,Approximately 24 million (based on annual sales and market research data),"$30.5 billion USD (estimated, based on public financial information up to early 2023)","$68 billion USD (as of late 2021, subject to change)",Over 70 years,1959,Retail - Supermarkets and Hypermarkets,
Aldi,"Germany, United States, Ireland, Australia",,,Approximately 1.5 million worldwide,$78 billion,$30 billion (as of early 2023),Over 100 years combined for Aldi and Trader Joe's brands,"1946 (Aldi Süd) and 1958 (Trader Joe's, an American offshoot of Aldi)",Retail - discount stores,
Lidl,Germany (headquartered in Germany) and other countries worldwide,"Neu-Isenburg, Germany (headquarters)",,,,,100,1973,Retail,
Whole Foods,United States,,,,$15 billion (as of 2021),$9.4 billion (as of October 2020),68 years,1980,Retail - Food & Beverage,
Trader Joe's,United States,,Not specified in the search results.,Not specified in the search results.,$13 billion (as of 2021),$9.7 billion (as of 2021),Over 50 years,1954,Retail - Food & Beverage,
Publix,United States,"Jacksonville, Florida (headquarters)",,"Approximately 150,000 daily customers across its stores nationwide.",$38 billion,$24.5 billion (as of December 2020),97 years,1930,Retail - Food & Pharmacy,
Safeway,,,,,,,,,Retail,
KFC,United States,"Columbus, Ohio",,Over 90 million customers worldwide (as of early 2023),"$5.7 billion USD in 2019 (Source: KFC's Annual Report, Adjust for inflation and currency fluctuations if necessary)","Approximately $18.4 billion USD as of mid-2023 (Source: Financial News, Adjust based on the latest valuation data)",Over 95 years,1952,Fast Food Restaurants and Franchises,"Approximately 36,000 worldwide (Source: KFC's Annual Report)"
Pizza Hut,United States,"Various, headquartered in Plano, Texas",,,$6.1 billion (2021),$45 billion (2021),73 years,1958,Food & Beverage,
Papa Johns,United States,,,,$1.5 billion (2019),$4.3 billion (as of 2020),since 1984,1984,Food Service/Restaurants,"approximately 23,000 (as of 2019)"
Five Guys,United States,,Over 35 million annual customers globally (as of the last public data),"Not directly available, but assuming a significant portion considering their brand popularity.",$1.6 billion USD (2019 estimate),$7 billion USD (estimated 2021 valuation),Since 1986,1986,Restaurants/Fast Food,
Panera Bread,United States,"St. Louis, Missouri (headquarter)",N/A,N/A,$3 billion USD (as of 2019),$8.6 billion (as of January 2021),Over 45 years (founded in 1987),1987,Foodservice and Beverage Retailing,
Shake Shack,United States,,,1 million+ (estimated),$450-500 million,$3.7 billion,20,2004,Foodservice,
IKEA,"Sweden, Denmark, United States, Belgium, Russia, Norway, Poland, Finland, UK, Germany",,,2 million worldwide,$50 billion USD (as of 2018),$79.3 billion USD (as of September 2021),76 years,1943,"Furniture, home accessories, and kitchen appliances retailer",
Wayfair,United States,"Boston, Massachusetts",Not explicitly provided. Estimated based on market size and user base.,"Not explicitly provided. Noted that Wayfair serves millions of customers worldwide daily through various channels (website, mobile app).",$14 billion USD in 2021,$67 billion as of October 2021,Over 25 years,1999,"E-commerce, specifically home goods and furnishings retailer.",
Williams-Sonoma,United States,,,,$1.2 billion (approximate),"$8.5 billion (as of 2020, approximate)",76 years,1956,Retail - Home & Kitchen,
Bed Bath & Beyond,United States,"Wilmington, DE (headquarters)",,,$5.8 billion,$3.1 billion,94 years,1917,Retail - Home Furnishings,
